Robert Stone$Wolfsbane Family$William Perez                                    $1{Kenneth Reed,Jonathan Morris,Larry Mitchell,Jacob Turner,Benjamin Miller,Jeffrey Walker,Charles Edwards,Donald Harris,Scott Campbell,Joseph Black,Kenneth Collins,Robert Hill,Steven Green,Matthew Sanchez,Mark Morris,Brandon Perez}$Brian Edwards|mASVFwvvwcyns|Benjamin Perez|Ryan Roberts|Steven Rivera
Charles Edwards$Coldfall Family$Kevin Walker                                     $7{Michael Collins,Andrew Murphy,Andrew Harris}$Nicholas Bell|Brian Edwards|Gary Lopez|Robert Rogers|Andrew Baker|Thomas Reed|Gary Young|nsTiNNeJJ|Kevin Evans|Jason Walker|Richard Morris|Donald Harris|Robert Hill
Larry Scott$Ashenmoor Family$Matthew Stone                                    $6{Brandon Scott,Richard Perez,William Harris,Anthony Rivera,Benjamin Perez,Andrew Scott,Andrew Harris,Daniel Miller,Ryan Roberts,Jacob Roberts,Stephen Young,Jonathan Morris,Mark Murphy,Joseph Black,Gary Lopez,Jason Phillips,Robert Rogers}$Andrew Bell|Brandon Perez|Gary Young|Matthew Murphy|AGRbwXnwP.ySPRc lD|Charles Edwards|Timothy Morris|Jacob Turner|Joshua Morgan|Donald Harris|Kenneth Young
Jacob Phillips$Nightmoor Family$Gary Lopez                                       $6{Ronald Baker,Andrew Murphy,George Phillips,Robert Wright,William Harris,Gary Edwards,David Bell,Brandon Perez,Andrew Baker,Larry Scott,Thomas Reed,Jacob Turner,Gary Young,Matthew Sanchez,Richard Perez,Robert Stewart}$Jacob Cook|Donald Harris|Gary Walker|Thomas Perez|RtQDLgWpvwhETFJYwonGtKwC|Steven Reed|Daniel Miller|Kenneth Young|Jason Phillips|Richard Morris|Jacob Howard|Benjamin Miller
Andrew Murphy$Duskborne Family$Matthew Murphy                                   $4{Matthew Stone,Andrew Scott,William White,Brandon Evans,Robert Rogers,Richard Morgan,Joseph Mitchell,William Cooper,Jonathan White,Eric Rivera,Larry Scott,Thomas Lopez,Timothy Morris}$Ryan Collins|Steven Reed|Matthew Murphy|Daniel Cooper|Mark Murphy|Robert Stewart|Brandon Perez|Michael Collins|Robert Scott|Eric Murphy|wNYnc|Robert Cooper|Jacob Cook|Joshua Morgan|George Mitchell|Gary Lopez
Andrew Harris$Hollowmoor Family$Kenneth Young                                    $7{Ryan Collins,Kevin Evans,Daniel Miller,Brian White,Anthony Rivera,Robert Wright,William Perez,Matthew Sanchez,Thomas Reed,Robert Stewart,Joseph Mitchell,Jason Phillips,James Walker,Andrew Bell,Michael Carter,Brandon Evans,Timothy Morris}$Kenneth Reed|Ronald Baker|Gary Young|Andrew Baker|Samuel Reed|Robert Scott|Kenneth Young|Jason Rogers|Gary Walker|Robert Morgan|uPHGdlYnhlRLJ|Daniel Cooper
Joshua Reed$Frostscar Family$Robert Morgan                                    $1{Jacob Phillips,Mark Morris,David Bell,William Harris,Richard Perez,Donald Harris,Daniel Cooper,Thomas Lopez,Joseph Black,Matthew Sanchez,Jeffrey Walker,Robert Wright}$HnajXBaXYamMhVRqc|Richard Morgan|Steven Rivera|Eric Rivera|Gary Murphy
Ryan Collins$Ruinfall Family II$Gary Edwards                                     $5{Benjamin Miller,Benjamin Perez,Gary Lopez,Jason Phillips,Robert Morgan,Andrew Scott,Thomas Lopez,George Phillips,Jason Rogers,Richard Perez,Nicholas King}$Nicholas Bell|David Bell|Ryan Roberts|Jacob Howard|njDvT|Brian Bell|Kevin Evans|Jacob Turner
George Mitchell$Coldmoor Family$Brian Bell                                       $5{William Perez,William White,Eric Murphy,Steven Rivera,Jacob Cook,Jonathan White,Kevin Walker,Robert Rogers,Gary Lopez,Thomas Morgan,Steven Reed,Benjamin Miller,Brian White,Timothy Morris,Thomas Lopez}$Ryan Collins|nNNQCXrf|Robert Morgan|Andrew Harris
Nicholas King$Graveholt Family$Richard Perez                                    $1{Brandon Perez,Jonathan Morris,Benjamin Miller,Benjamin Perez,Joshua Morgan,Scott Black,Matthew Sanchez,William Cooper,Kenneth Collins,Andrew Harris,Jason Rogers,Richard Morris,Eric Rivera,Michael Collins}$RPQWKZmnHawGrH|Steven Rivera
Brian White$Thornscar Family$Brian Bell                                       $2{William Perez,Jonathan Morris,Andrew Scott,Jason Phillips}$phvMMw.fVSPqYTwinV|Kevin Walker
